location
"(39.320939, -77.23311)"
"(45.001441, -123.0487813)"
"(40.698573, -73.89363999999999)"
"(41.0619654, -73.52294630000002)"
"(32.991715, -80.2161333)"
"(33.6406459, -117.1597697)"
"(43.5717609, -116.4011401)"
"(37.3404562, -121.8986833)"
"(37.2760197, -121.9660852)"
"(33.4583808, -94.470421)"
"(36.7964952, -76.0846267)"
"(36.0869979, -86.606822)"
"(41.7540541, -72.9248823)"
"(47.3864324, -122.1672432)"
"(44.5399176, -68.8996061)"
"(40.6130807, -74.37815119999999)"
"(32.6279846, -93.72065450000001)"
"(31.420789, -82.78392199999999)"
"(42.1517766, -83.36130349999999)"
"(42.195634, -89.14246299999999)"
"(32.9896179, -94.07446300000001)"
"(26.396608, -80.20857199999999)"
"(41.4914039, -90.5398338)"
"(44.9121049, -93.0102749)"
"(33.0170798, -80.20666229999999)"
"(38.972254, -84.59893799999999)"
"(30.4894868, -92.08056839999999)"
"(41.5836441, -87.6093231)"
"(35.8707861, -101.9576985)"
"(40.5768707, -104.9810761)"
"(26.577197, -80.1264999)"
"(35.3238653, -80.962174)"
"(41.2472009, -74.5197759)"
"(40.5873049, -73.6907081)"
"(41.8854531, -87.6429835)"
"(33.8924001, -117.8058411)"
"(33.1755039, -96.874172)"
"(40.8203997, -73.2072573)"
"(39.9066897, -77.3397895)"
"(40.8245596, -73.86184879999999)"
"(38.9228839, -77.0444491)"
"(42.2666438, -71.009823)"
"(29.725839, -95.42169270000001)"
"(39.9666794, -74.2324454)"
"(33.6879996, -88.25938819999999)"
