location
"(39.9306416, -83.1665122)"
"(32.7971205, -97.3511178)"
"(41.78390659999999, -88.293419)"
"(41.2018755, -73.9905555)"
"(34.0791947, -117.4585065)"
"(42.8213348, -83.26153529999999)"
"(41.9622876, -87.7409011)"
"(29.48634689999999, -98.41880789999999)"
"(34.127388, -118.050486)"
"(31.78374759999999, -106.4120074)"
"(29.56721539999999, -95.6771662)"
"(33.8419172, -84.1438228)"
"(40.996343, -74.1895685)"
"(38.3463572, -85.8137052)"
"(29.48834519999999, -95.14208699999999)"
"(38.37894989999999, -121.44997)"
"(40.7036919, -73.82658599999999)"
"(39.7392073, -104.9802774)"
"(40.6765804, -73.7119503)"
"(37.6336846, -120.9674878)"
"(37.7275691, -120.9228852)"
"(36.0467927, -115.0457882)"
"(27.8074112, -82.64806990000001)"
"(43.3128532, -72.3778944)"
"(35.3157114, -77.7022373)"
"(45.7796186, -111.1702906)"
"(26.1774738, -80.30640319999999)"
"(29.6224306, -95.7862418)"
"(39.2477404, -75.60105349999999)"
"(33.924846, -84.5620749)"
"(36.1058555, -79.8130181)"
"(28.8806737, -81.16266929999999)"
"(47.4492054, -122.5571697)"
"(34.83904, -92.20286)"
"(27.6884466, -82.4573272)"
"(43.0424016, -78.87521919999999)"
"(32.325421, -90.886314)"
"(31.581794, -84.2321812)"
"(32.7121049, -117.1508341)"
"(42.3848397, -89.04247800000002)"
"(29.6588793, -98.4563199)"
"(32.378137, -80.59828399999999)"
"(47.6189485, -122.3257109)"
"(40.689847, -73.859352)"
"(29.7973859, -90.85273049999999)"
