location
"(40.2087556, -74.022094)"
"(34.1800542, -118.4390926)"
"(42.47255, -70.9707244)"
"(37.8051202, -121.2154748)"
"(34.0885331, -117.6596416)"
"(37.9257188, -121.2996938)"
"(40.4079659, -111.8920481)"
"(34.0865028, -118.0862742)"
"(35.824373, -84.22259559999999)"
"(29.4774056, -98.6698784)"
"(33.1482232, -117.1238556)"
"(40.6806294, -75.2515749)"
"(26.269129, -80.262996)"
"(48.8440221, -122.582796)"
"(32.875081, -79.994038)"
"(39.0700825, -121.5457198)"
"(40.169301, -80.2576322)"
"(34.0494491, -118.2586466)"
"(32.3646934, -97.3781412)"
"(29.5814165, -98.33534639999999)"
"(33.8302404, -118.3371511)"
"(36.449174, -86.634996)"
"(40.5893804, -73.9635569)"
"(33.8944677, -118.2424176)"
"(28.6973497, -100.4833709)"
"(33.9944153, -118.2895014)"
"(33.9387045, -118.3535227)"
"(40.6559238, -111.9431433)"
"(33.4472624, -104.5079085)"
"(26.1997339, -98.1443323)"
"(25.9551591, -80.3094392)"
"(37.7204653, -122.3932655)"
"(28.3099412, -81.4322687)"
"(29.6268098, -98.513556)"
"(32.3369758, -90.0935664)"
"(34.1121868, -117.3771132)"
"(42.5173528, -96.3905386)"
"(27.584898, -99.4855675)"
"(40.9359981, -74.1776094)"
"(40.710913, -111.961326)"
"(29.3877163, -100.9206218)"
"(37.2655333, -121.87385)"
"(40.8014261, -73.2484539)"
"(37.269903, -121.9667961)"
"(39.087013, -84.555651)"
