location
"(33.9554432, -117.3854358)"
"(42.7095438, -88.9741642)"
"(40.8487364, -74.0046054)"
"(31.1161062, -97.6686512)"
"(43.0395291, -85.5364579)"
"(25.716465, -80.307339)"
"(42.66079, -73.7995679)"
"(40.692206, -73.747385)"
"(33.6798288, -84.6643608)"
"(34.1022518, -84.05079289999999)"
"(44.86509359999999, -93.30175249999999)"
"(41.6334599, -88.08397169999999)"
"(35.0176971, -76.9830727)"
"(31.8126706, -81.604186)"
"(39.254153, -76.51964799999999)"
"(29.8974844, -95.6306139)"
"(40.8144297, -73.89898649999999)"
"(39.0810213, -121.5528554)"
"(33.699455, -78.909762)"
"(41.4273567, -74.1432413)"
"(39.0877888, -94.5384205)"
"(35.3553859, -94.3983186)"
"(39.7354404, -75.5542899)"
"(40.7013063, -74.3068025)"
"(42.5059289, -70.8906007)"
"(27.0578731, -82.4220869)"
"(43.2273151, -88.0148674)"
"(40.5472589, -74.21558399999999)"
"(27.9294501, -82.38972199999999)"
"(44.87867, -72.4199299)"
"(34.2150676, -119.1647306)"
"(40.024744, -75.1669759)"
"(32.8081419, -117.1884412)"
"(38.67516, -90.229962)"
"(42.6783112, -83.09287959999999)"
"(38.8514313, -76.7406411)"
"(40.4811671, -86.13393289999999)"
"(39.9124374, -75.18061990000001)"
"(39.7314284, -75.6321966)"
"(30.2908303, -97.73339639999999)"
"(39.970375, -77.68998619999999)"
"(33.8368299, -84.379914)"
"(32.7989686, -96.76907779999999)"
"(28.8089167, -82.3313488)"
"(47.9749179, -122.2138344)"
