location
"(43.7090684, -116.6311102)"
"(42.0394395, -72.5545652)"
"(39.876796, -75.382603)"
"(27.88201, -82.4906153)"
"(40.6542388, -73.700318)"
"(40.781993, -73.84710199999999)"
"(34.49106769999999, -114.292496)"
"(43.1582157, -78.67750099999999)"
"(35.140607, -79.37134700000001)"
"(33.8749828, -78.7079602)"
"(33.8553212, -118.2653159)"
"(41.94079869999999, -87.6453557)"
"(34.1305846, -118.062045)"
"(37.6168551, -122.4396905)"
"(40.5568224, -74.1302762)"
"(39.6283287, -75.7454847)"
"(40.31304970000001, -76.0502736)"
"(42.0016752, -87.81226339999999)"
"(38.6761545, -76.61760129999999)"
"(40.234395, -74.794381)"
"(33.6934048, -84.225636)"
"(33.7133259, -117.9520386)"
"(25.9288397, -80.25197399999999)"
"(42.9234854, -78.8487153)"
"(33.8554544, -81.0645244)"
"(34.0283031, -118.3650504)"
"(33.6032921, -84.64934290000001)"
"(29.3055162, -81.06877109999999)"
"(36.1756542, -115.264658)"
"(33.6270927, -117.3160411)"
"(42.43351879999999, -83.1861893)"
"(29.7022428, -95.83847449999999)"
"(38.9798567, -76.7837612)"
"(41.1710356, -81.8712999)"
"(36.183245, -86.145639)"
"(34.163098, -118.6030253)"
"(32.6676337, -96.99682709999999)"
"(30.5376276, -92.08530929999999)"
"(34.0279781, -117.6941196)"
"(40.102791, -82.907724)"
"(46.135222, -122.968943)"
"(37.2687706, -79.9239862)"
"(39.4749478, -118.8627469)"
"(42.2539437, -70.8939564)"
"(46.48994709999999, -93.9277357)"
