location
"(32.5735636, -93.6692758)"
"(37.8439132, -122.1046696)"
"(33.4864867, -82.4438139)"
"(30.4347897, -81.65806169999999)"
"(35.2756457, -80.9459361)"
"(33.9978072, -118.3163831)"
"(34.0993838, -118.3259174)"
"(32.8201202, -97.1660419)"
"(30.1631912, -97.8533066)"
"(35.2096781, -114.0233182)"
"(38.2362209, -86.8603406)"
"(40.34198079999999, -76.7833555)"
"(31.5117988, -82.8539449)"
"(41.3993098, -75.67001479999999)"
"(26.1241678, -80.2453095)"
"(45.0879862, -93.45265719999999)"
"(33.7495389, -117.9394195)"
"(30.5569301, -89.5911819)"
"(33.921383, -117.438904)"
"(30.3819249, -88.74877959999999)"
"(26.4478671, -80.1358008)"
"(40.351062, -75.1118247)"
"(38.8607817, -77.09271609999999)"
"(37.0717419, -84.7479996)"
"(35.0711639, -106.5838896)"
"(47.105065, -122.270414)"
"(40.6629663, -73.7657077)"
"(36.2061052, -119.3052954)"
"(41.9879876, -87.6941851)"
"(40.49268, -86.17094379999999)"
"(37.9793506, -121.7956455)"
"(43.2089975, -71.5450164)"
"(34.6840819, -77.07749199999999)"
"(41.2711749, -111.9528546)"
"(28.5484225, -81.7724324)"
"(38.8849503, -104.8004806)"
"(42.9859066, -83.59465589999999)"
"(40.8302346, -72.8896927)"
"(35.872575, -81.404049)"
"(35.20053, -97.416918)"
"(36.9874527, -121.5738807)"
"(41.7348188, -88.31449669999999)"
"(42.3931143, -77.0197201)"
"(27.5190634, -97.85883249999999)"
"(30.2632049, -97.71135489999999)"
