location
"(39.8230112, -79.74758899999999)"
"(41.2746714, -88.2897911)"
"(38.626844, -76.9577929)"
"(38.408166, -82.53849)"
"(44.069635, -92.51203790000001)"
"(30.48677139999999, -89.0551677)"
"(30.4735123, -90.8835659)"
"(41.3081612, -73.2638892)"
"(40.65199800000001, -74.20408499999999)"
"(34.1086328, -117.5267497)"
"(34.1492739, -118.4328704)"
"(30.5804227, -90.76533599999999)"
"(34.0003207, -118.4542088)"
"(38.5505628, -90.0449477)"
"(34.2469286, -118.4759263)"
"(40.855733, -73.8640599)"
"(40.6822531, -73.99313409999999)"
"(42.8614115, -85.7742212)"
"(40.6837271, -74.57230170000001)"
"(34.1819712, -118.5538306)"
"(38.880629, -77.2074279)"
"(29.7068017, -95.6630708)"
"(40.767165, -74.04100199999999)"
"(29.577969, -98.623199)"
"(34.0993282, -118.0357391)"
"(34.0396278, -118.2635696)"
"(32.745171, -80.0735289)"
"(36.984161, -77.716661)"
"(34.05426, -118.3082263)"
"(40.123976, -74.994393)"
"(43.815046, -88.54959799999999)"
"(41.4858914, -81.96043499999999)"
"(41.0227772, -73.55788299999999)"
"(37.3331285, -77.3292006)"
"(35.344623, -81.3243619)"
"(38.4606575, -121.3186425)"
"(32.8679569, -96.79064910000001)"
"(34.2732005, -92.08891100000001)"
"(40.6775854, -73.86729009999999)"
"(38.6510643, -77.2715735)"
"(26.2241681, -81.7666813)"
"(37.7569831, -122.4639181)"
"(41.3705035, -72.8987377)"
"(32.2841933, -88.5414776)"
"(29.4838621, -98.3323085)"
