location
"(27.9618047, -81.9041326)"
"(39.6675462, -86.1424699)"
"(37.4392236, -79.9567679)"
"(39.9874996, -83.33642189999999)"
"(30.155867, -81.86505609999999)"
"(42.3340489, -71.1707022)"
"(45.6212186, -94.2424302)"
"(42.5147438, -88.1609087)"
"(35.5929839, -81.1305745)"
"(39.661743, -104.9915)"
"(38.2406863, -122.0740905)"
"(46.8895376, -92.30487800000002)"
"(40.7300952, -73.85974019999999)"
"(43.5329056, -71.470274)"
"(25.6939241, -80.3083837)"
"(28.3478902, -81.3353647)"
"(35.9213054, -78.8175361)"
"(37.9888583, -122.0848836)"
"(33.8194732, -118.1160397)"
"(25.4731788, -80.43228979999999)"
"(33.8516901, -117.9916863)"
"(41.1062552, -73.4297613)"
"(34.0506022, -117.9627174)"
"(39.086123, -76.5822575)"
"(40.8524572, -74.7959121)"
"(38.0454839, -84.49710139999999)"
"(34.2075516, -118.4027702)"
"(47.769546, -122.304859)"
"(40.7973154, -91.1095424)"
"(38.4346519, -82.5964305)"
"(40.4892538, -105.0572255)"
"(33.8426209, -117.2185162)"
"(29.9036379, -89.9908366)"
"(37.7388768, -122.1591934)"
"(30.77916399999999, -86.585819)"
"(40.7160005, -73.95807049999999)"
"(33.9690089, -84.0723749)"
"(34.0479434, -84.3174334)"
"(41.73726389999999, -88.09684969999999)"
"(37.9809614, -121.6880582)"
"(39.3311187, -76.4501114)"
"(36.628037, -82.166308)"
"(29.8267566, -95.73962920000001)"
"(41.61908, -81.4725576)"
"(40.2705619, -84.1616698)"
