location
"(36.380387, -86.4487566)"
"(30.93144809999999, -83.2471924)"
"(35.2823877, -119.0083556)"
"(32.6493417, -97.4350511)"
"(32.4294098, -86.50751079999999)"
"(47.1642172, -122.3938825)"
"(40.8681065, -82.3218095)"
"(35.671919, -78.582417)"
"(39.4126653, -104.9136766)"
"(39.2140751, -75.5782146)"
"(47.741853, -122.6160639)"
"(36.5951083, -79.4346321)"
"(39.3945212, -76.5716158)"
"(40.04790910000001, -75.54673000000001)"
"(33.7853699, -116.9998894)"
"(26.0745054, -80.2259663)"
"(30.3672974, -94.1965221)"
"(36.2126295, -115.2296953)"
"(44.8033675, -68.7585422)"
"(42.3657172, -71.8979519)"
"(33.3879849, -79.9366494)"
"(31.1425941, -97.9114251)"
"(32.7716511, -96.5820507)"
"(33.5679407, -101.8605562)"
"(40.0836683, -75.09065749999999)"
"(34.5380022, -78.68335139999999)"
"(44.4773837, -71.943782)"
"(33.5591328, -112.0622384)"
"(36.85523, -119.7413824)"
"(40.2977664, -75.1926807)"
"(44.0385292, -123.0677154)"
"(33.6902858, -117.6661041)"
"(42.5639303, -77.5896456)"
"(40.497171, -86.1413)"
"(30.3091454, -92.12972359999999)"
"(38.79381619999999, -121.288497)"
"(39.1822433, -76.866173)"
"(40.6098084, -74.300569)"
"(27.7607083, -80.4827725)"
"(40.618827, -74.763116)"
"(32.463436, -85.0516182)"
"(29.5587131, -98.51177320000001)"
"(42.811692, -73.536498)"
"(42.90039520000001, -71.21658719999999)"
"(31.1353498, -97.42703709999999)"
