location
"(33.5283925, -85.0785579)"
"(44.0888116, -87.67712519999999)"
"(34.9279713, -120.4474974)"
"(41.7167289, -85.89369049999999)"
"(41.7377546, -87.7047504)"
"(42.4118821, -71.4232804)"
"(44.9546408, -89.57544089999999)"
"(33.8451728, -118.0493233)"
"(35.660154, -97.4497109)"
"(34.8769848, -82.371569)"
"(41.9108999, -87.6875773)"
"(39.077291, -77.02006399999999)"
"(40.706001, -73.8942409)"
"(45.5342138, -122.6951131)"
"(32.217239, -110.95562)"
"(38.371219, -86.382008)"
"(38.8906952, -76.8070619)"
"(34.0314263, -81.0295084)"
"(35.9034587, -81.394089)"
"(36.0544624, -115.221035)"
"(32.9693096, -96.7891808)"
"(38.1505588, -122.2278744)"
"(38.5583181, -106.9242629)"
"(40.3034021, -79.7311381)"
"(38.8906498, -76.9857615)"
"(35.19232460000001, -85.0615193)"
"(39.7371513, -86.3113092)"
"(40.6119647, -111.9191579)"
"(39.37105390000001, -84.5015098)"
"(37.1346339, -121.6507916)"
"(35.4302252, -119.0359765)"
"(32.5588103, -83.6430103)"
"(37.9540227, -121.9584426)"
"(28.2059734, -80.608559)"
"(39.1310788, -121.6267723)"
"(29.6470834, -95.17935949999999)"
"(32.4907183, -92.0897157)"
"(42.7697855, -83.4249561)"
"(40.1064376, -74.8455046)"
"(28.0544597, -82.0186068)"
"(38.4704483, -78.0087034)"
"(35.7803776, -87.46211199999999)"
"(26.7376934, -80.04957639999999)"
"(42.249119, -83.24794519999999)"
"(40.5717875, -84.4656254)"
