location
"(25.8695242, -80.1273525)"
"(42.9039789, -88.00316839999999)"
"(26.1837755, -80.132977)"
"(40.8861458, -73.07098750000002)"
"(39.1231327, -76.5280719)"
"(25.9528619, -80.13090749999999)"
"(38.0803218, -122.5628376)"
"(33.8089403, -117.9520615)"
"(32.73269930000001, -96.849019)"
"(40.8283339, -73.06789789999999)"
"(40.0346695, -74.1935202)"
"(43.5692732, -71.1870857)"
"(40.775417, -73.926806)"
"(42.8953007, -85.6637756)"
"(30.966264, -88.0630523)"
"(29.02212849999999, -81.3321415)"
"(32.9299472, -117.0761214)"
"(40.098552, -74.137503)"
"(31.877769, -106.5823703)"
"(35.2890501, -119.0635161)"
"(32.583151, -117.091523)"
"(26.6885246, -81.9991127)"
"(25.7800525, -80.356708)"
"(30.0121696, -90.0761184)"
"(28.3503383, -81.3603292)"
"(38.9473059, -104.6887011)"
"(40.83661, -73.70043799999999)"
"(34.5551627, -118.0923557)"
"(34.1902974, -118.5556132)"
"(40.8152238, -74.2784752)"
"(45.8228215, -122.5368781)"
"(42.588003, -72.319459)"
"(42.16205799999999, -75.214376)"
"(33.7628778, -84.65923269999999)"
"(41.4766689, -74.3605669)"
"(35.126048, -120.603288)"
"(40.5112502, -79.7423165)"
"(45.0316983, -92.81080419999999)"
"(35.58505880000001, -78.7539747)"
"(29.5977034, -98.3786602)"
"(38.9391451, -84.5347309)"
"(39.966868, -75.068288)"
"(34.015731, -118.065034)"
"(39.2275235, -94.4287598)"
"(42.3222265, -83.3543732)"
