location
"(39.4143829, -77.4375701)"
"(39.7676612, -89.62191089999999)"
"(34.0197137, -117.6362876)"
"(32.8623936, -96.6834227)"
"(30.8928914, -84.5645959)"
"(31.4964033, -82.8472763)"
"(42.3074755, -84.65389979999999)"
"(40.8364503, -73.9892241)"
"(40.9114006, -73.5624265)"
"(40.8668754, -73.9275893)"
"(42.27654889999999, -71.0915941)"
"(40.928444, -74.6361776)"
"(39.7408812, -104.9243299)"
"(33.7694838, -118.0324915)"
"(34.1407974, -118.2334156)"
"(41.7406328, -87.71614559999999)"
"(33.7313169, -112.4386225)"
"(40.1106203, -83.1539911)"
"(38.99748, -77.13964059999999)"
"(32.8760041, -83.7489016)"
"(35.4559441, -89.8175014)"
"(41.5100316, -71.30070289999999)"
"(32.2655781, -80.8742997)"
"(38.79446859999999, -90.48995649999999)"
"(33.807967, -84.4130917)"
"(28.2722865, -82.6405157)"
"(32.9536266, -80.1507738)"
"(25.510316, -80.41399899999999)"
"(39.8928966, -105.0308796)"
"(39.066209, -77.83161299999999)"
"(29.987475, -91.81303799999999)"
"(38.7620765, -90.66416799999999)"
"(37.2291901, -79.8068725)"
"(38.7553744, -77.54880969999999)"
"(30.4477396, -91.0162804)"
"(40.9230091, -74.18993549999999)"
"(34.1690305, -118.4009853)"
"(39.3797694, -84.54003379999999)"
"(40.2780423, -80.46165909999999)"
"(35.121508, -80.964094)"
"(40.584286, -73.81869800000001)"
"(38.7012611, -76.9640135)"
"(42.4607319, -83.2077456)"
"(33.616269, -112.1905492)"
"(37.5341371, -77.58758279999999)"
