location
"(42.7327464, -71.4835739)"
"(36.779494, -76.28651099999999)"
"(43.48524159999999, -116.4368554)"
"(39.9973225, -76.77898330000001)"
"(39.623735, -75.83855)"
"(33.789235, -84.4020199)"
"(41.5786276, -90.58373759999999)"
"(30.629424, -88.3382869)"
"(30.5323536, -97.7788345)"
"(40.3567992, -111.968388)"
"(32.730759, -79.91261)"
"(33.61093, -112.3777138)"
"(36.1600565, -86.500464)"
"(40.30527499999999, -86.5030302)"
"(33.7543894, -117.889724)"
"(33.0772966, -96.7008037)"
"(33.1647776, -117.3467278)"
"(44.896213, -73.5532024)"
"(35.457079, -89.800116)"
"(27.3866, -82.49946)"
"(28.0163186, -80.7285878)"
"(41.1754772, -112.10022)"
"(47.7128847, -122.0334953)"
"(39.58786800000001, -74.697467)"
"(36.334694, -82.232249)"
"(35.557929, -82.691059)"
"(41.4961504, -90.4331595)"
"(39.140451, -119.7441874)"
"(33.7977672, -84.03597859999999)"
"(42.5673909, -70.8750526)"
"(41.072062, -80.455784)"
"(32.2394285, -80.9009294)"
"(32.6788461, -117.0799828)"
"(37.3962328, -121.9053495)"
"(38.9006511, -77.0165868)"
"(33.088738, -96.84678799999999)"
"(41.8010405, -89.64854729999999)"
"(28.5806421, -96.65723469999999)"
"(37.0374915, -122.033157)"
"(43.0994718, -89.19442099999999)"
"(40.133175, -82.846733)"
"(40.3492433, -85.1460343)"
"(45.5971223, -94.2366933)"
"(29.588903, -90.6599414)"
"(40.2898609, -82.7614084)"
