location
"(29.5938261, -95.8052471)"
"(40.21360749999999, -75.1279718)"
"(34.0874736, -118.2544143)"
"(41.45824, -74.44321699999999)"
"(45.19599059999999, -93.2420707)"
"(27.2188601, -80.2646918)"
"(34.1910188, -118.4317655)"
"(31.5649037, -83.9374734)"
"(40.5302784, -74.2189185)"
"(38.612578, -82.6537924)"
"(39.58739449999999, -89.583708)"
"(36.4442049, -82.335574)"
"(47.618226, -117.483043)"
"(42.343907, -83.896255)"
"(37.7738053, -122.5027854)"
"(34.0789292, -118.3913213)"
"(33.6604619, -117.9525191)"
"(36.967087, -120.51462)"
"(33.7403717, -118.2911913)"
"(36.8833517, -87.6216341)"
"(33.0184941, -117.1517051)"
"(41.504484, -87.93083759999999)"
"(40.0305127, -77.5967905)"
"(30.1085542, -94.144457)"
"(41.9544097, -87.757824)"
"(35.956778, -83.993636)"
"(29.9831203, -95.6918817)"
"(40.7171519, -74.03804509999999)"
"(33.4496843, -112.4720094)"
"(26.206248, -80.187426)"
"(33.9250027, -117.9502768)"
"(33.8648629, -84.6210782)"
"(44.0833424, -123.1063772)"
"(42.2887047, -83.25413429999999)"
"(35.3680118, -94.4196743)"
"(40.4335763, -74.53175929999999)"
"(45.241391, -94.019539)"
"(42.3648852, -82.928874)"
"(43.6133463, -96.95212079999999)"
"(37.7574742, -122.4006559)"
"(27.9972891, -80.6261442)"
"(42.0772339, -72.6593492)"
"(42.894701, -73.4388379)"
"(36.0682767, -95.9510857)"
"(27.2472894, -80.3413064)"
