location
"(41.62657600000001, -74.302881)"
"(43.74648759999999, -87.7823669)"
"(42.134127, -80.0147889)"
"(42.7050676, -70.98084159999999)"
"(61.53503600000001, -149.4563281)"
"(47.0924209, -122.4136457)"
"(39.9495931, -82.8073979)"
"(36.0333024, -115.0422069)"
"(38.4408697, -91.022887)"
"(33.9478141, -84.2797638)"
"(31.6962462, -94.5853583)"
"(26.6686712, -80.0630312)"
"(29.1671756, -98.9101748)"
"(26.518146, -80.097785)"
"(42.128401, -72.5367735)"
"(42.3562337, -71.0726655)"
"(32.8523428, -97.1441408)"
"(41.362981, -72.94575669999999)"
"(43.3575085, -75.55130129999999)"
"(42.176691, -88.303393)"
"(41.954247, -87.6458578)"
"(39.6359252, -75.6939299)"
"(31.4868039, -100.4392829)"
"(40.7687666, -81.7078567)"
"(28.6090263, -81.1748575)"
"(40.1754817, -74.8703208)"
"(39.224607, -77.6474719)"
"(28.527042, -81.237999)"
"(42.3420734, -83.4764618)"
"(42.5929405, -83.01830389999999)"
"(33.617122, -117.8611568)"
"(36.93317, -76.2586609)"
"(41.5858839, -87.4962767)"
"(40.7013925, -73.95326419999999)"
"(35.476252, -82.495379)"
"(33.5052114, -81.9683329)"
"(40.661234, -73.39191799999999)"
"(40.1410718, -85.6654409)"
"(40.2068628, -74.9485643)"
"(40.5869845, -73.9666148)"
"(38.8777481, -77.0063567)"
"(44.9844264, -92.7498852)"
"(43.6316867, -71.5251479)"
"(43.0617336, -92.6677587)"
"(33.0749121, -97.20628620000001)"
