location
"(29.8712159, -90.0938955)"
"(44.7221973, -85.67601760000001)"
"(39.9444021, -75.035765)"
"(41.62991340000001, -70.6241424)"
"(42.2091505, -83.261828)"
"(36.0495318, -86.62006559999999)"
"(29.4471585, -81.2054596)"
"(44.8863293, -68.6821831)"
"(45.58036269999999, -94.2144275)"
"(32.9663387, -117.2628811)"
"(29.6852262, -95.5025058)"
"(36.5529866, -82.6482387)"
"(47.91075300000001, -116.771231)"
"(41.949408, -88.769288)"
"(28.5439923, -81.2570672)"
"(37.434242, -77.51309599999999)"
"(42.3070049, -83.1480019)"
"(46.89946, -122.277987)"
"(31.7110165, -106.3430908)"
"(40.86361309999999, -73.2648107)"
"(39.0843399, -77.4962879)"
"(42.900794, -85.8022372)"
"(35.3272531, -78.61937)"
"(29.2603174, -98.39642959999999)"
"(39.003075, -84.6692638)"
"(40.3884801, -104.5646624)"
"(35.0954987, -80.70670369999999)"
"(36.157959, -85.474668)"
"(39.1105711, -96.88654149999999)"
"(33.3772396, -91.03196679999999)"
"(34.0161251, -84.6322565)"
"(28.0864998, -82.5575334)"
"(29.50575929999999, -98.65642749999999)"
"(41.3942503, -87.33305709999999)"
"(40.2630876, -74.474908)"
"(33.0256199, -97.00421539999999)"
"(40.5852999, -73.96125099999999)"
"(37.7535472, -122.4413715)"
"(32.996613, -80.145305)"
"(42.0434023, -87.9043828)"
"(38.6653157, -121.546924)"
"(42.0982001, -88.11035559999999)"
"(30.440558, -84.47760099999999)"
"(47.5859728, -122.3169412)"
"(42.7393443, -82.79202939999999)"
