location
"(44.0431284, -123.0864044)"
"(43.4532216, -71.4389113)"
"(35.331455, -79.34681599999999)"
"(33.8049901, -118.116634)"
"(38.7834452, -90.69478360000001)"
"(34.4222741, -118.4927463)"
"(30.593418, -96.32889899999999)"
"(37.8016869, -122.2342127)"
"(38.4876566, -121.4030924)"
"(39.0648175, -76.9837927)"
"(40.0947993, -75.253489)"
"(42.341679, -71.098176)"
"(35.3093492, -87.2756082)"
"(41.6491045, -86.0848353)"
"(42.0739553, -71.0226383)"
"(38.5722534, -121.3416095)"
"(41.2954475, -96.1319276)"
"(26.8176554, -80.0916195)"
"(41.593373, -75.23293)"
"(29.7393367, -95.3976568)"
"(33.9159276, -117.9411242)"
"(31.7874001, -106.264741)"
"(26.602608, -81.752534)"
"(42.3151064, -71.0569964)"
"(33.4922236, -111.9340841)"
"(40.4375903, -74.200346)"
"(41.4387959, -74.0385269)"
"(40.95609899999999, -72.7597036)"
"(40.4551346, -74.506159)"
"(37.244152, -121.7658069)"
"(41.3164863, -73.7864524)"
"(40.5065281, -105.0230041)"
"(41.60863820000001, -70.9093518)"
"(40.677793, -73.897001)"
"(39.7154065, -82.59800249999999)"
"(35.6541556, -97.541268)"
"(38.4712901, -121.3567318)"
"(29.4734266, -98.3365444)"
"(40.665, -73.98763)"
"(42.2649479, -83.19105499999999)"
"(27.9786677, -81.9910409)"
"(33.8536223, -84.5375974)"
"(40.1121382, -77.0258382)"
"(43.4857682, -88.3151612)"
"(39.24183499999999, -94.44457799999999)"
