location
"(30.2922508, -81.7267234)"
"(28.9590495, -81.3222992)"
"(41.73890189999999, -72.63001580000001)"
"(42.9751019, -78.6380563)"
"(32.9684145, -96.78832299999999)"
"(32.2423096, -96.0339616)"
"(43.08845789999999, -73.7136201)"
"(41.809004, -88.0608101)"
"(33.2598052, -87.6267982)"
"(37.4354214, -79.15968149999999)"
"(26.4933919, -82.0861406)"
"(33.544064, -117.0649393)"
"(43.1309337, -71.45135830000001)"
"(42.8003558, -71.3794453)"
"(33.7826911, -117.8138556)"
"(45.6301974, -94.2121124)"
"(36.013863, -115.2900325)"
"(42.0884981, -70.8441173)"
"(47.6471304, -122.3554643)"
"(32.7361047, -117.0490894)"
"(25.9636539, -80.31584099999999)"
"(30.6307108, -88.27312909999999)"
"(33.5282878, -111.9859473)"
"(33.0227048, -96.7578262)"
"(31.8227387, -106.5457245)"
"(35.2552459, -97.42871369999999)"
"(32.5611533, -117.0649964)"
"(31.921789, -81.30829109999999)"
"(29.616486, -95.2697702)"
"(34.2576066, -88.7033859)"
"(33.532069, -112.2487871)"
"(29.3513203, -98.4198145)"
"(34.2052546, -118.4665963)"
"(29.490887, -98.5902179)"
"(40.53859690000001, -74.2192714)"
"(34.1027944, -117.4951172)"
"(30.1687006, -97.6341087)"
"(39.4602239, -104.7300139)"
"(33.8952888, -117.4557994)"
"(27.891237, -82.32958599999999)"
"(40.8608852, -73.2821337)"
"(38.6904544, -77.3273498)"
"(38.69471950000001, -87.45105009999999)"
"(29.8390992, -90.1055488)"
"(41.4736751, -72.60127969999999)"
