location
"(42.7961654, -83.2442859)"
"(33.7322693, -117.7769692)"
"(40.6849042, -73.8572592)"
"(30.3029629, -82.1336857)"
"(26.0397996, -80.13734110000001)"
"(41.1700542, -73.94569489999999)"
"(40.5697414, -75.32131179999999)"
"(43.5709843, -70.38523030000002)"
"(39.098076, -77.8140109)"
"(41.2065608, -75.9893869)"
"(33.9234464, -83.3809972)"
"(38.9298741, -76.72183849999999)"
"(26.8253995, -80.0935832)"
"(36.1619402, -115.1293701)"
"(42.3717702, -70.9697742)"
"(39.8186094, -86.1406533)"
"(40.662427, -74.260448)"
"(36.072729, -115.306454)"
"(37.8091503, -95.43581209999999)"
"(40.1805431, -75.5295124)"
"(40.0465662, -75.282973)"
"(36.0461771, -80.1907863)"
"(42.6701279, -73.8466273)"
"(34.8849528, -89.85517279999999)"
"(32.9702729, -117.065732)"
"(41.9800538, -87.69025769999999)"
"(42.7936578, -70.8086553)"
"(46.1827161, -122.9775556)"
"(38.7888274, -77.2720224)"
"(44.00387389999999, -92.454257)"
"(44.7961079, -72.112315)"
"(40.3062823, -75.96308359999999)"
"(41.1962, -80.581718)"
"(42.63225569999999, -73.5531783)"
"(42.425661, -79.399276)"
"(39.699797, -104.8932359)"
"(34.0487035, -81.0367564)"
"(40.7414872, -82.52815939999999)"
"(41.68939109999999, -70.4413083)"
"(40.0740836, -87.7091102)"
"(42.209154, -86.1687036)"
"(30.0330661, -95.5239)"
"(35.7570382, -78.54606559999999)"
"(42.0401955, -70.8345483)"
"(37.187575, -76.416533)"
