location
"(40.4134125, -104.6906011)"
"(39.8929646, -104.7785345)"
"(33.6518323, -84.0697199)"
"(31.39731489999999, -97.71746360000002)"
"(36.3680411, -86.46578269999999)"
"(42.9348104, -87.9651421)"
"(35.620437, -120.66343)"
"(32.6023557, -97.1016425)"
"(40.7458891, -96.70314379999999)"
"(37.4168457, -77.6565878)"
"(40.51710750000001, -80.0303481)"
"(35.1512214, -101.915842)"
"(34.0480068, -117.7565114)"
"(29.23831899999999, -98.8778607)"
"(41.6548708, -87.67107759999999)"
"(31.0949103, -97.70671399999999)"
"(29.4338976, -98.65946489999999)"
"(45.1306314, -93.3116315)"
"(37.7869635, -122.439403)"
"(41.7947507, -71.8924529)"
"(32.801234, -96.96347)"
"(25.717346, -80.41124339999999)"
"(37.3483462, -120.6098092)"
"(41.4824858, -74.0242974)"
"(25.9396098, -80.30117949999999)"
"(33.7285612, -117.8037956)"
"(29.6076296, -98.4209128)"
"(33.9029423, -118.0250814)"
"(40.4657188, -84.1804796)"
"(39.9608969, -74.1925636)"
"(38.535782, -121.5726754)"
"(32.6181457, -117.0821434)"
"(40.4074891, -86.8807362)"
"(31.7583906, -90.55167860000002)"
"(33.966567, -84.030811)"
"(41.617294, -87.8687276)"
"(38.8107422, -77.0860689)"
"(41.87431489999999, -87.8740969)"
"(33.520218, -112.3265588)"
"(33.3393629, -111.8379342)"
"(40.0098866, -83.1434882)"
"(33.6872337, -112.226037)"
"(38.9343645, -90.1440686)"
"(38.75609439999999, -104.7195104)"
"(40.0618755, -75.18642299999999)"
