location
"(47.324462, -122.5793169)"
"(35.2707251, -119.0728503)"
"(36.949088, -120.0996447)"
"(37.2593031, -121.8528141)"
"(25.739515, -80.2903035)"
"(32.4720555, -90.0525283)"
"(30.0193209, -90.4640895)"
"(43.5780194, -116.3879061)"
"(39.9012442, -75.33919089999999)"
"(26.2677529, -80.103314)"
"(38.757095, -77.218063)"
"(42.1349576, -71.52605150000001)"
"(42.6486096, -73.7874293)"
"(25.675278, -80.321601)"
"(30.2554912, -81.6414585)"
"(35.2247602, -80.81837139999999)"
"(29.3916177, -98.6767982)"
"(29.8040826, -95.832556)"
"(33.5130279, -80.3080573)"
"(40.6506568, -74.9908514)"
"(41.0274225, -73.83926439999999)"
"(26.4644487, -80.0677674)"
"(41.91103, -88.35385199999999)"
"(40.335747, -76.41371699999999)"
"(33.6992169, -112.0363425)"
"(37.89027189999999, -122.1280623)"
"(42.128884, -78.409539)"
"(39.014247, -95.72202279999999)"
"(29.7042955, -95.3106997)"
"(42.3850967, -83.36840000000001)"
"(35.9221523, -85.4532108)"
"(41.785158, -72.50438199999999)"
"(38.8960348, -75.4459207)"
"(32.7902141, -96.9378758)"
"(40.5819136, -74.3290304)"
"(43.0245734, -76.10759949999999)"
"(41.74190129999999, -87.66595389999999)"
"(41.4033818, -76.8096164)"
"(47.4429587, -122.4899519)"
"(41.434836, -74.42625079999999)"
"(47.6796774, -122.3221036)"
"(47.603033, -122.33364)"
"(29.5885869, -98.2603346)"
"(34.486988, -114.3320307)"
"(38.571097, -92.293082)"
