location
"(34.0247496, -118.4092361)"
"(39.5180618, -76.3167354)"
"(29.6279291, -82.3655381)"
"(33.8971349, -118.3596633)"
"(37.0081167, -120.0869913)"
"(40.8730992, -73.8688062)"
"(34.9671559, -80.9064503)"
"(28.6501082, -81.4948071)"
"(29.4772439, -98.63026300000001)"
"(47.511943, -120.478836)"
"(36.18624790000001, -119.8239945)"
"(42.3432152, -83.2626224)"
"(39.5579274, -77.1015869)"
"(36.3187364, -115.2209193)"
"(33.2332429, -111.7509371)"
"(25.9179853, -80.2463114)"
"(30.0605911, -95.5397868)"
"(47.6645672, -122.3503245)"
"(41.6895281, -71.4420615)"
"(41.53069860000001, -71.38953479999999)"
"(39.8973182, -75.3139091)"
"(40.8724555, -74.0442643)"
"(35.0256563, -89.8109977)"
"(36.3159825, -95.8526321)"
"(28.6121936, -81.4899824)"
"(41.5315749, -87.1472611)"
"(43.1516518, -88.2191288)"
"(35.0664427, -106.727403)"
"(39.1208574, -95.0611904)"
"(34.7996395, -82.68342419999999)"
"(44.843354, -92.95375399999999)"
"(39.602488, -75.697254)"
"(40.8064905, -74.4428765)"
"(33.229462, -82.30057099999999)"
"(40.7367604, -73.108728)"
"(29.8255614, -95.5736862)"
"(38.3809101, -121.4455063)"
"(40.2842322, -74.53522819999999)"
"(33.9333806, -84.2008719)"
"(34.2611095, -118.469676)"
"(32.6586874, -114.4844232)"
"(29.97953189999999, -90.0916889)"
"(33.9252863, -98.3813314)"
"(44.240454, -122.810798)"
"(38.9686039, -75.5729506)"
