location
"(34.1146468, -117.3759006)"
"(40.8190095, -73.820138)"
"(32.6776165, -114.6659867)"
"(34.0442196, -118.0041301)"
"(32.5763406, -117.1112621)"
"(39.8771189, -86.21618720000001)"
"(42.8587965, -85.6383886)"
"(29.03431, -95.402766)"
"(33.8505286, -118.0539883)"
"(41.5675886, -85.8191442)"
"(33.5889188, -117.5869346)"
"(41.0918021, -75.2048306)"
"(39.9724859, -75.25211039999999)"
"(36.1858151, -115.2588697)"
"(43.52085839999999, -71.4770674)"
"(34.2510719, -118.6106961)"
"(33.9390933, -118.2027467)"
"(40.992948, -80.604457)"
"(48.51523599999999, -122.3803081)"
"(26.9216194, -80.2410622)"
"(33.4235464, -112.275961)"
"(40.5082259, -79.9525282)"
"(33.7684106, -118.1846501)"
"(42.0070577, -83.9503344)"
"(42.0068944, -88.0643844)"
"(32.7594748, -117.0315488)"
"(40.17065669999999, -75.1158844)"
"(41.17593979999999, -112.0432356)"
"(40.807361, -73.853188)"
"(42.0185667, -72.5889896)"
"(41.6977541, -81.3549159)"
"(40.8243145, -84.927016)"
"(43.4734359, -70.7884476)"
"(39.5648304, -76.38136639999999)"
"(42.5149672, -83.23953879999999)"
"(40.766907, -73.779499)"
"(27.7867391, -82.3021333)"
"(30.496465, -88.857919)"
"(41.0300846, -75.3783127)"
"(34.0073144, -118.3306911)"
"(45.037148, -93.383428)"
"(39.2109053, -85.88867610000001)"
"(42.9970009, -77.0901042)"
"(37.376697, -89.684364)"
"(46.743527, -119.701585)"
