location
"(40.7119, -73.81443999999999)"
"(41.380895, -95.62236899999999)"
"(44.954595, -92.700869)"
"(33.6131576, -117.6643166)"
"(29.9533991, -81.4909259)"
"(39.3616264, -87.38345679999999)"
"(35.539934, -82.46366599999999)"
"(42.5917023, -71.757468)"
"(31.2119021, -94.3450482)"
"(28.4008215, -80.5993878)"
"(33.3913119, -84.7440645)"
"(34.29305, -118.568129)"
"(40.4464061, -86.1586191)"
"(29.712554, -95.5676555)"
"(35.4034201, -80.65939689999999)"
"(37.7298643, -122.1417168)"
"(42.6179261, -83.0565033)"
"(38.4279338, -122.6656907)"
"(42.9962495, -73.8207469)"
"(28.0334622, -97.4964061)"
"(38.18409, -85.5510321)"
"(32.337438, -90.1043656)"
"(47.178274, -122.260704)"
"(32.2377388, -110.8702632)"
"(38.920513, -90.1798104)"
"(41.97455009999999, -71.4585309)"
"(40.5065799, -105.0355138)"
"(33.9299935, -84.3843277)"
"(39.8421515, -86.14359569999999)"
"(44.9400241, -93.2755937)"
"(39.6522566, -82.885533)"
"(44.7431812, -92.8832187)"
"(33.0308741, -96.5861592)"
"(34.1309737, -117.5272844)"
"(40.7947716, -73.7277196)"
"(33.8908177, -118.1398119)"
"(35.1140727, -118.4487561)"
"(41.29255879999999, -72.9762518)"
"(38.5827702, -90.1294456)"
"(38.7336298, -90.11804339999999)"
"(36.0848137, -115.3031587)"
"(27.900184, -82.76159899999999)"
"(26.1302573, -80.2307154)"
"(40.7989907, -73.2452746)"
"(32.4206736, -104.2288375)"
