location
"(32.849602, -80.087849)"
"(28.1760297, -82.36775569999999)"
"(33.6181907, -112.4360148)"
"(39.9160472, -82.76088179999999)"
"(28.77540239999999, -81.4014103)"
"(40.977687, -74.806066)"
"(35.1820802, -80.79739579999999)"
"(36.7278056, -79.828381)"
"(40.6823903, -73.91419739999999)"
"(35.0162976, -85.24918269999999)"
"(43.6295565, -116.415071)"
"(36.1451309, -96.12965)"
"(39.0766946, -84.47138559999999)"
"(39.7256225, -75.064128)"
"(38.64199, -77.350885)"
"(42.2443805, -85.789228)"
"(29.671741, -95.55429699999999)"
"(36.7408809, -76.2296029)"
"(41.7186783, -71.4093187)"
"(36.8047994, -76.1822909)"
"(30.036029, -95.35501)"
"(33.6694144, -117.8807285)"
"(36.3781095, -85.94970719999999)"
"(37.7779964, -77.9090456)"
"(31.047662, -97.66335219999999)"
"(41.3873478, -87.1813975)"
"(39.4787936, -76.6165633)"
"(38.8662838, -94.76901699999999)"
"(35.411189, -80.8345568)"
"(40.771317, -96.6671844)"
"(33.02107, -96.90366209999999)"
"(39.5100088, -84.43767729999999)"
"(41.7398474, -86.1596168)"
"(27.7066238, -82.7341663)"
"(43.006169, -78.160359)"
"(32.1524168, -110.7586266)"
"(41.3091142, -81.3798515)"
"(29.98256289999999, -95.5944087)"
"(32.6185502, -97.077451)"
"(32.9370319, -95.8714729)"
"(43.4123047, -76.20234959999999)"
"(27.3302463, -82.48544960000001)"
"(27.5203398, -97.8781338)"
"(32.8312802, -97.2530857)"
"(36.7814866, -76.3305547)"
