location
"(39.378175, -76.621042)"
"(40.71729000000001, -73.899722)"
"(33.1858071, -96.62145749999999)"
"(40.85503, -73.883695)"
"(34.0224877, -84.2646494)"
"(39.0901609, -77.53957249999999)"
"(38.9036323, -90.0608374)"
"(40.395071, -80.184733)"
"(37.9359205, -121.7071879)"
"(37.9036201, -77.73830079999999)"
"(33.191705, -80.0093629)"
"(48.2849093, -122.6772511)"
"(33.0302596, -96.8735722)"
"(29.909763, -82.529135)"
"(60.49741110000001, -151.0294158)"
"(32.7225983, -117.2313738)"
"(30.305028, -95.437854)"
"(40.5399373, -74.3268307)"
"(32.9558646, -97.2898111)"
"(38.8010725, -77.1487635)"
"(25.9829299, -80.37747829999999)"
"(42.0501781, -91.788996)"
"(32.2294784, -110.8031615)"
"(43.9038929, -73.11295299999999)"
"(29.7426855, -95.3851825)"
"(32.6426046, -97.162549)"
"(41.8093185, -87.7422553)"
"(46.8580547, -96.7908155)"
"(41.1047172, -74.0206939)"
"(33.5967311, -117.6564085)"
"(41.6853472, -71.5299634)"
"(32.4700653, -88.83791839999999)"
"(42.487234, -83.18240449999999)"
"(34.1078112, -117.7943683)"
"(41.1894429, -74.37723489999999)"
"(40.5377698, -112.0102504)"
"(39.3945738, -76.59315699999999)"
"(32.6483369, -83.71943619999999)"
"(44.2428652, -105.6183263)"
"(41.9563327, -87.74920449999999)"
"(39.1031427, -94.58267579999999)"
"(41.77030209999999, -87.68113079999999)"
"(40.0469004, -75.1052445)"
"(33.5318616, -82.5116706)"
"(36.1864839, -86.76922979999999)"
