location
"(42.557837, -83.31595999999999)"
"(41.4593406, -81.57011829999999)"
"(30.8819656, -83.22008699999999)"
"(41.5554442, -88.19176089999999)"
"(45.0190808, -123.0213441)"
"(28.2151027, -81.2952155)"
"(36.0430723, -96.0683758)"
"(32.0936868, -81.2839063)"
"(30.6720778, -87.90056949999999)"
"(45.6251675, -122.4998817)"
"(36.4143619, -82.51596699999999)"
"(36.0057666, -115.2568554)"
"(29.963887, -95.17942)"
"(43.509289, -116.427899)"
"(34.0333483, -84.2399192)"
"(44.7496789, -72.17712949999999)"
"(27.8481905, -82.8172534)"
"(29.8072202, -97.9882676)"
"(40.0357863, -84.2622346)"
"(38.5825241, -90.2704809)"
"(39.9167783, -75.387693)"
"(42.37453, -83.0789811)"
"(28.4809297, -81.3112842)"
"(42.4931603, -92.3860096)"
"(40.6564449, -74.63995120000001)"
"(45.193546, -93.841416)"
"(39.480657, -105.0814748)"
"(43.5487396, -96.7555469)"
"(38.1471152, -85.571646)"
"(38.1838424, -85.7723814)"
"(38.828213, -76.633758)"
"(39.0664478, -94.5308383)"
"(41.9818651, -91.5984148)"
"(39.4853458, -77.2396433)"
"(42.0787133, -70.9408989)"
"(36.116715, -83.8004389)"
"(33.0732339, -96.73641599999999)"
"(40.0423282, -75.15270249999999)"
"(33.5099019, -82.123693)"
"(29.7860704, -98.397286)"
"(30.32905199999999, -97.508673)"
"(32.8053022, -97.00466670000002)"
"(29.530321, -98.33470460000001)"
"(35.2896383, -80.7024474)"
"(39.9221789, -75.1637155)"
