location
"(25.9285946, -80.3428728)"
"(32.7510137, -97.47621939999999)"
"(34.0485279, -118.3266751)"
"(39.9595214, -105.1440098)"
"(42.748996, -83.34164299999999)"
"(41.5034687, -72.1843094)"
"(40.8358553, -73.9427558)"
"(30.0890689, -91.9874263)"
"(40.609171, -112.0149176)"
"(44.9045782, -93.2782763)"
"(39.4917879, -88.36803739999999)"
"(42.4606145, -82.9305969)"
"(36.3083615, -79.6918225)"
"(34.155376, -118.3991265)"
"(41.6406326, -93.4432637)"
"(37.8179091, -122.2599386)"
"(40.8844403, -74.2441848)"
"(40.62931650000001, -111.8694579)"
"(42.0682498, -80.1740142)"
"(35.8127571, -90.67763819999999)"
"(43.2211139, -71.7064567)"
"(37.6740781, -122.1485037)"
"(33.9568609, -118.113548)"
"(41.2424671, -73.178336)"
"(32.0428908, -81.057375)"
"(29.6734427, -95.19333789999999)"
"(26.1358247, -80.18042280000002)"
"(40.6430272, -73.9316307)"
"(42.27643820000001, -71.23137640000002)"
"(34.1355907, -116.3234217)"
"(40.7169935, -74.25922109999999)"
"(40.62186699999999, -79.737881)"
"(36.3388046, -86.58275309999999)"
"(39.1548615, -76.6150287)"
"(35.4714721, -97.51061179999999)"
"(34.0906287, -83.7651194)"
"(33.2319006, -95.9021585)"
"(45.4846525, -93.24943680000001)"
"(37.3719371, -121.823188)"
"(34.9964698, -85.1487872)"
"(35.764517, -81.5360029)"
"(28.0615358, -82.4452009)"
"(28.0479104, -82.6048436)"
"(41.885116, -87.9688161)"
"(42.3216334, -72.693621)"
