location
"(38.8571049, -104.7716132)"
"(32.4231832, -93.71291459999999)"
"(43.168113, -83.8817849)"
"(35.8006029, -86.4146772)"
"(31.8163142, -81.6296878)"
"(38.161767, -122.2357358)"
"(31.9979525, -96.4114195)"
"(40.729336, -73.952201)"
"(27.9232953, -82.5118398)"
"(47.6659394, -122.3772933)"
"(29.047525, -82.4648464)"
"(40.051514, -77.491051)"
"(33.6335928, -112.3787585)"
"(34.3916406, -83.79618289999999)"
"(33.9672876, -83.8628545)"
"(42.9205631, -85.7319095)"
"(37.4014817, -77.6572925)"
"(33.5014898, -112.0360164)"
"(29.9925876, -97.2502366)"
"(43.12218379999999, -87.90629899999999)"
"(47.5387384, -122.0412014)"
"(43.2047971, -77.5899478)"
"(45.6938069, -122.543233)"
"(40.7865271, -73.9705371)"
"(42.3693667, -76.8747578)"
"(28.3845191, -80.7654751)"
"(30.1054227, -92.0317006)"
"(41.3096276, -73.09193359999999)"
"(37.9382779, -121.7044267)"
"(41.9880116, -87.6547002)"
"(26.1101571, -80.3780002)"
"(26.111611, -80.1377773)"
"(33.765988, -117.837281)"
"(33.96438500000001, -118.2009645)"
"(30.479713, -97.9381609)"
"(39.7355866, -104.977265)"
"(39.7797789, -86.11689849999999)"
"(40.9793255, -74.29921689999999)"
"(28.824173, -81.7186321)"
"(25.7951697, -80.3188734)"
"(33.0498997, -97.0408336)"
"(44.5115623, -73.2535884)"
"(40.6797061, -73.79027599999999)"
"(42.1861091, -83.2083713)"
"(37.2219904, -79.7860027)"
