location
"(29.8113941, -94.8963804)"
"(33.42136929999999, -84.29537289999999)"
"(33.3013558, -111.9688074)"
"(44.021825, -75.642174)"
"(35.0236813, -80.6312391)"
"(43.5730504, -71.03595949999999)"
"(40.7882437, -73.629176)"
"(35.9008739, -79.35902999999999)"
"(39.9328716, -105.0243052)"
"(29.9295511, -95.5236336)"
"(33.9771167, -84.0132102)"
"(45.081393, -123.34554)"
"(41.666115, -72.8940609)"
"(38.8058407, -77.1250094)"
"(41.7664272, -88.1201009)"
"(41.8797591, -87.6314017)"
"(43.0854312, -78.7863802)"
"(42.1102934, -87.9723175)"
"(45.14944300000001, -69.3911598)"
"(30.763774, -84.99300099999999)"
"(37.9524765, -122.0737576)"
"(41.3809788, -71.6047905)"
"(30.3595534, -97.69629750000001)"
"(41.9329261, -87.75936990000001)"
"(42.4680977, -70.9050568)"
"(31.33612129999999, -86.1735846)"
"(31.2943956, -82.30777379999999)"
"(38.3483936, -122.688023)"
"(37.7646411, -122.4248183)"
"(47.1902524, -122.2869446)"
"(40.5342137, -79.99079809999999)"
"(35.89673, -84.92215399999999)"
"(26.1620195, -80.3096243)"
"(42.477982, -82.919676)"
"(34.0920669, -118.3648578)"
"(26.150418, -80.12019839999999)"
"(43.0045707, -83.6410569)"
"(34.1149998, -84.0536829)"
"(40.2608626, -87.6195094)"
"(47.769884, -122.1950807)"
"(26.7955679, -80.05609)"
"(37.9689665, -84.5492259)"
"(38.6232563, -90.3584066)"
"(30.4532685, -88.8681647)"
"(42.3674824, -87.8632426)"
