location
"(38.8816752, -77.0164135)"
"(45.56035869999999, -122.6671442)"
"(41.045124, -81.192486)"
"(28.1655811, -82.38241479999999)"
"(43.6216762, -116.2567893)"
"(41.65503409999999, -88.0816602)"
"(42.2562728, -83.4782334)"
"(34.9713555, -84.0827908)"
"(37.2976634, -120.5115143)"
"(42.3655244, -87.9103801)"
"(37.71795280000001, -121.8730941)"
"(43.0863848, -76.33281629999999)"
"(35.7145881, -86.0559277)"
"(45.0485865, -92.8588073)"
"(33.9378767, -118.1954699)"
"(33.884196, -118.4075132)"
"(42.49726, -96.3639308)"
"(40.5505577, -74.52227359999999)"
"(30.2633151, -81.7094852)"
"(33.8651372, -117.6259505)"
"(34.8901944, -83.3825134)"
"(47.563774, -122.3740993)"
"(40.42870320000001, -74.42116659999999)"
"(31.3190473, -92.3937862)"
"(45.45100559999999, -122.5925241)"
"(47.0096048, -122.8206761)"
"(29.6407677, -95.72280429999999)"
"(39.6538003, -75.0841335)"
"(39.265639, -121.590855)"
"(29.7906178, -82.4777929)"
"(26.1801315, -80.174036)"
"(32.7144892, -117.1535465)"
"(41.0300205, -74.6644474)"
"(36.4511687, -79.5385409)"
"(33.7028933, -111.9144518)"
"(28.0511833, -82.6718243)"
"(34.2788421, -118.4747858)"
"(40.73730949999999, -73.5485771)"
"(40.0310679, -75.1190432)"
"(40.6687979, -73.5395583)"
"(40.7731429, -74.0130758)"
"(44.16894, -115.965556)"
"(32.7479207, -97.1421199)"
"(38.64489349999999, -90.5605573)"
"(32.6304383, -97.3890339)"
