location
"(42.183518, -71.30656069999999)"
"(40.7458821, -73.9754313)"
"(32.9872582, -117.0875676)"
"(32.2397305, -80.99712989999999)"
"(38.8440766, -76.97729)"
"(29.5219816, -83.2414809)"
"(36.1988168, -86.7070955)"
"(29.6803889, -95.1865316)"
"(40.0106734, -74.14535149999999)"
"(40.7316989, -79.7614725)"
"(27.8524355, -82.7999036)"
"(38.967857, -94.5979766)"
"(41.3669336, -81.6710287)"
"(34.8379179, -86.55917699999999)"
"(28.7002152, -81.4304951)"
"(38.0815906, -85.869914)"
"(41.25402649999999, -76.7719965)"
"(33.7432194, -84.52371389999999)"
"(37.7611299, -122.1850925)"
"(43.6259686, -84.3995168)"
"(38.9963984, -76.7973726)"
"(39.9594575, -75.1615705)"
"(35.487121, -82.40296099999999)"
"(38.5413128, -106.9344266)"
"(40.7186879, -73.96308359999999)"
"(36.6581398, -121.6579875)"
"(44.4919663, -88.0675728)"
"(41.5775709, -93.62267179999999)"
"(29.4637803, -81.1205537)"
"(27.311922, -80.36521499999999)"
"(34.1245223, -84.58071129999999)"
"(32.355785, -111.094157)"
"(42.4007123, -71.05242319999999)"
"(39.826543, -74.928403)"
"(30.4261707, -88.9569839)"
"(26.7346065, -80.1016341)"
"(33.9902807, -80.985359)"
"(39.8819328, -84.20274289999999)"
"(33.9810262, -117.3507678)"
"(38.9779729, -77.0262571)"
"(41.46503329999999, -87.05581029999999)"
"(42.21837499999999, -83.1674334)"
"(44.610217, -73.624004)"
"(33.902082, -81.2303479)"
"(33.8999761, -118.223743)"
