location
"(38.9244342, -77.38324519999999)"
"(30.3065037, -89.759317)"
"(30.0901053, -91.94203139999999)"
"(29.8276222, -95.0016502)"
"(41.7413079, -71.4113132)"
"(33.7765656, -118.123317)"
"(40.52836569999999, -74.2711405)"
"(40.3100943, -105.0851875)"
"(35.126488, -81.690045)"
"(30.1640935, -85.7668448)"
"(41.8926125, -87.6653576)"
"(31.7969226, -82.3516255)"
"(40.721975, -74.08910399999999)"
"(42.1171137, -88.2682832)"
"(42.3615547, -71.35815199999999)"
"(33.80021869999999, -118.3014673)"
"(33.882424, -84.71910299999999)"
"(40.0548174, -74.85238079999999)"
"(40.7086765, -74.01009309999999)"
"(40.7006789, -73.9335418)"
"(40.7729316, -74.0247474)"
"(38.9058395, -77.0049899)"
"(33.535702, -84.282378)"
"(30.3723359, -81.5959233)"
"(41.1303134, -81.30494829999999)"
"(36.7401518, -108.3976086)"
"(35.112029, -89.95216300000001)"
"(29.4202649, -98.7428897)"
"(33.8685344, -118.050581)"
"(34.0654283, -118.0412735)"
"(34.428466, -77.8305413)"
"(33.474929, -87.039683)"
"(34.0676833, -118.2202474)"
"(26.002482, -80.33244599999999)"
"(33.9655795, -117.6311764)"
"(37.9089563, -90.6210086)"
"(30.5746636, -81.4583139)"
"(40.5469683, -74.13867619999999)"
"(37.4036172, -121.924574)"
"(43.5368605, -76.10977419999999)"
"(35.573801, -84.45858899999999)"
"(40.6629621, -73.4194714)"
"(45.2593219, -92.9884036)"
"(45.745487, -94.9477918)"
"(33.8632331, -117.5984736)"
