location
"(29.84366649999999, -95.7895642)"
"(40.4229773, -111.8054595)"
"(42.2894374, -83.3757461)"
"(37.6010673, -122.4006448)"
"(40.13284489999999, -74.6573219)"
"(34.0546473, -118.3597832)"
"(34.9158795, -80.90104869999999)"
"(42.791408, -88.22574929999999)"
"(37.2277548, -121.9013953)"
"(37.6865922, -120.9251717)"
"(39.58709899999999, -119.8152344)"
"(30.7780902, -85.5374233)"
"(32.3159667, -102.5485595)"
"(41.1883704, -111.9534112)"
"(33.2195947, -98.1847585)"
"(37.622499, -96.7354189)"
"(41.9556122, -72.3120524)"
"(30.0678403, -93.7384113)"
"(33.8888368, -84.04757239999999)"
"(36.5432794, -82.1256078)"
"(32.5494338, -93.609704)"
"(37.6812305, -122.1209098)"
"(41.1643772, -111.9865528)"
"(36.0561235, -90.9624485)"
"(38.23836240000001, -85.4102951)"
"(34.5509028, -102.3118607)"
"(35.985715, -94.2953295)"
"(32.9061598, -97.2787106)"
"(47.396795, -122.0890303)"
"(33.9682687, -84.24275899999999)"
"(35.9439685, -77.83783869999999)"
"(33.7259459, -84.2730413)"
"(35.9105942, -78.9468333)"
"(31.0990324, -97.7294704)"
"(28.5856692, -81.2727675)"
"(27.2962759, -82.4293794)"
"(34.6358665, -98.45700560000002)"
"(34.3205455, -79.9094532)"
"(45.6950752, -122.5062867)"
"(40.6990487, -74.2922269)"
"(26.5591853, -80.0637733)"
"(33.6096516, -86.8263289)"
"(40.6604496, -73.9231217)"
"(26.177483, -80.2748385)"
"(34.6743393, -87.3099807)"
