location
"(47.26406249999999, -122.2217681)"
"(28.4200349, -82.64853409999999)"
"(45.136775, -93.2038556)"
"(34.0691537, -118.2680909)"
"(26.0089019, -80.3490946)"
"(25.916156, -97.38992600000002)"
"(40.8159252, -73.80099059999999)"
"(40.73076229999999, -73.957984)"
"(34.2195841, -118.4694092)"
"(29.5025343, -98.6755087)"
"(35.3731712, -118.9189734)"
"(34.2252765, -119.0658911)"
"(29.8057157, -98.44046449999999)"
"(29.41109, -98.7195771)"
"(35.3680939, -118.9336567)"
"(35.3392722, -119.0795605)"
"(32.7264831, -97.0747402)"
"(35.1672854, -106.5770756)"
"(36.3171574, -82.3712724)"
"(27.79554, -82.6338049)"
"(35.63954409999999, -105.9735911)"
"(30.4114215, -91.04038779999999)"
"(40.55387899999999, -74.17424969999999)"
"(39.2652268, -119.5854108)"
"(38.9878345, -77.0259506)"
"(37.345634, -121.8772296)"
"(39.8328575, -85.9551312)"
"(34.9440314, -81.02691970000001)"
"(34.0875252, -118.2894101)"
"(42.2153947, -84.40119969999999)"
"(28.0224479, -82.1901627)"
"(32.6915522, -96.3962774)"
"(40.1329632, -83.0189019)"
"(32.7334997, -96.84805659999999)"
"(26.1654647, -98.2598644)"
"(30.638783, -96.32064799999999)"
"(30.3183623, -97.6887912)"
"(41.818596, -92.77857399999999)"
"(40.66174789999999, -74.3600761)"
"(32.5799094, -97.1580044)"
"(36.0709916, -94.1899189)"
"(40.8932952, -73.4496261)"
"(29.52242, -81.2610249)"
"(33.8812175, -84.49005629999999)"
"(43.1053615, -89.3345014)"
