location
"(39.802491, -104.880098)"
"(47.7851155, -122.2354636)"
"(44.2735948, -88.397701)"
"(39.0621878, -84.7352088)"
"(36.8739055, -95.2511114)"
"(42.7094621, -85.8870578)"
"(35.0015283, -80.5958935)"
"(40.7527452, -74.0241976)"
"(29.7467387, -98.0678527)"
"(34.1147682, -80.8341026)"
"(47.5056476, -122.1717127)"
"(32.565475, -93.78192399999999)"
"(48.755845, -122.457214)"
"(38.7503766, -90.5468836)"
"(38.7182334, -121.3097719)"
"(30.7996147, -86.55508569999999)"
"(40.8465839, -73.8284798)"
"(30.4560663, -87.2177981)"
"(32.3215713, -90.17404490000001)"
"(34.77479599999999, -82.3440959)"
"(39.0268041, -94.4330209)"
"(43.8193844, -76.04270389999999)"
"(38.859584, -76.9004913)"
"(40.0232891, -75.3371482)"
"(33.1068197, -117.1100444)"
"(38.0977403, -85.5662625)"
"(38.8072434, -94.47432309999999)"
"(30.3873781, -84.1245891)"
"(37.4136292, -122.1119469)"
"(41.7738202, -71.4021289)"
"(43.0452599, -87.90915389999999)"
"(39.9405345, -83.1480019)"
"(40.5247937, -105.0547432)"
"(29.5002484, -98.58414250000001)"
"(33.8358251, -84.0629196)"
"(35.7333327, -81.7023828)"
"(34.1135905, -118.0104432)"
"(39.0115821, -94.84764799999999)"
"(38.2268324, -90.57290499999999)"
"(35.52122050000001, -80.95133469999999)"
"(43.2214574, -77.6870974)"
"(29.2682282, -94.8355196)"
"(47.424358, -120.2859318)"
"(33.742621, -84.1450595)"
"(33.6559676, -117.994764)"
