location
"(44.920013, -74.8920632)"
"(35.7840122, -89.0030499)"
"(32.0604446, -82.89861739999999)"
"(32.6550543, -96.9222971)"
"(27.7574815, -97.3976795)"
"(42.5727512, -71.9724344)"
"(34.1850154, -82.1513263)"
"(33.8480699, -116.511286)"
"(28.6003612, -81.285648)"
"(41.746914, -87.5773724)"
"(32.7412149, -96.8738975)"
"(33.4000921, -86.8486794)"
"(39.033829, -95.945404)"
"(38.6191527, -76.944013)"
"(29.5959896, -95.58343099999999)"
"(39.0260579, -76.446683)"
"(26.3965078, -80.08952479999999)"
"(32.7292263, -117.0466986)"
"(37.5441434, -120.8118234)"
"(33.8214865, -117.965469)"
"(32.5834589, -96.93963719999999)"
"(40.9080085, -73.5705241)"
"(33.7241992, -78.9604428)"
"(43.236644, -83.959554)"
"(36.2163808, -115.2801237)"
"(40.4948534, -74.4627063)"
"(33.9612299, -118.0992144)"
"(39.0209544, -94.5955371)"
"(38.9735382, -92.31187949999999)"
"(36.249682, -86.6378452)"
"(42.9857634, -78.9709051)"
"(39.9796403, -75.8953585)"
"(34.1133383, -118.2223491)"
"(30.4552135, -90.1301446)"
"(39.53117719999999, -104.9457072)"
"(34.1212858, -118.1803085)"
"(32.5630772, -117.076811)"
"(34.1984681, -118.1284598)"
"(33.3960678, -112.1409024)"
"(36.8420332, -121.4165179)"
"(44.1366411, -70.6656991)"
"(40.7584019, -73.8169549)"
"(29.4672097, -98.645608)"
"(33.9821004, -118.233246)"
"(33.8195296, -117.833295)"
