location
"(41.9040592, -83.4325855)"
"(32.4493911, -84.921281)"
"(35.6312281, -97.65516009999999)"
"(31.4879633, -100.3960141)"
"(41.5954211, -87.7075436)"
"(40.72220799999999, -73.880612)"
"(40.6899833, -73.3894966)"
"(40.8189743, -73.91232959999999)"
"(41.6987346, -88.00551949999999)"
"(35.5826515, -80.5708172)"
"(40.56088949999999, -79.9616085)"
"(31.8215758, -82.46339859999999)"
"(30.763952, -98.20756709999999)"
"(34.1435074, -84.2908703)"
"(40.49985, -88.93114899999999)"
"(26.2446567, -98.15633899999999)"
"(38.4175309, -122.88901)"
"(38.8651538, -104.6900544)"
"(33.4599565, -117.6208619)"
"(33.4912631, -112.0837094)"
"(39.09793790000001, -75.56135309999999)"
"(40.3922291, -79.9961172)"
"(33.4186826, -97.1707555)"
"(26.0084081, -80.1470887)"
"(34.0910526, -84.574693)"
"(33.9126509, -83.8666882)"
"(39.1431425, -119.7475127)"
"(42.6965943, -82.94912649999999)"
"(42.878626, -78.7861999)"
"(30.19082089999999, -97.8193426)"
"(29.4494296, -81.1211805)"
"(30.0948375, -82.5809391)"
"(35.4971148, -84.9062505)"
"(43.4344856, -88.1915959)"
"(28.0810398, -82.4965313)"
"(33.335245, -86.90974)"
"(39.3161724, -94.9184203)"
"(33.5753666, -101.8794482)"
"(40.86017469999999, -74.08902479999999)"
"(37.5058301, -77.3865639)"
"(37.3128994, -89.5676878)"
"(33.1036349, -96.74381679999999)"
"(30.7610098, -86.5682849)"
"(34.1762725, -79.4044251)"
"(40.4981259, -112.0128521)"
