location
"(33.8503586, -84.6016233)"
"(35.3332429, -81.0719513)"
"(39.9547332, -105.169917)"
"(34.28554860000001, -118.6960905)"
"(30.7179831, -88.0933391)"
"(42.282424, -71.16799019999999)"
"(42.2376733, -83.2112373)"
"(42.7120757, -82.9382447)"
"(33.0184167, -96.9309981)"
"(34.578997, -118.138829)"
"(33.559648, -112.2554552)"
"(29.3297619, -98.50819489999999)"
"(32.581897, -117.1184324)"
"(41.6126693, -73.7906005)"
"(33.9448574, -117.5587795)"
"(42.258717, -72.5337074)"
"(33.4395487, -84.164266)"
"(41.9594828, -71.01061229999999)"
"(21.384767, -158.14431)"
"(34.0209504, -83.8857522)"
"(39.8429722, -82.8084083)"
"(34.5431611, -101.7708537)"
"(20.892534, -156.6816764)"
"(40.3985593, -104.7647795)"
"(34.0476305, -117.7489053)"
"(37.8163316, -122.2546211)"
"(45.61623729999999, -122.6867481)"
"(40.418556, -80.041286)"
"(41.082279, -74.166623)"
"(33.213087, -96.73779569999999)"
"(40.4335645, -80.08214910000001)"
"(40.3698589, -111.9733717)"
"(42.2707339, -71.3558788)"
"(36.3425358, -94.10638949999999)"
"(30.4618248, -97.8017146)"
"(41.4229892, -81.5573931)"
"(40.6673866, -73.9815108)"
"(42.9788975, -82.4557103)"
"(38.4237423, -105.219138)"
"(34.4284346, -119.7079003)"
"(40.4110019, -86.8306827)"
"(41.3614216, -72.85175559999999)"
"(32.8582084, -116.9819539)"
"(40.2794097, -75.27919729999999)"
"(41.4605866, -74.0947688)"
