location
"(40.3095742, -74.00478749999999)"
"(30.4418951, -95.4498734)"
"(47.644623, -117.474739)"
"(38.6757129, -121.3568854)"
"(43.0990116, -83.10964539999999)"
"(28.5069882, -81.3183877)"
"(40.66973730000001, -73.57457269999999)"
"(42.349595, -71.0883939)"
"(42.610458, -83.08348889999999)"
"(29.9556569, -95.4704292)"
"(25.980412, -80.3369913)"
"(30.4135949, -86.5930987)"
"(40.5068479, -74.47019329999999)"
"(33.7139142, -80.4955856)"
"(33.884, -91.481225)"
"(40.4496861, -80.2204548)"
"(25.960559, -80.25299199999999)"
"(34.2447536, -118.3569468)"
"(43.3666427, -72.34845589999999)"
"(41.9326876, -71.2847362)"
"(35.1057104, -106.7377004)"
"(40.7045512, -74.29286859999999)"
"(37.9298682, -121.3024424)"
"(41.4163723, -71.724226)"
"(36.8061315, -76.53060099999999)"
"(40.71953999999999, -73.758741)"
"(39.0283, -76.67354399999999)"
"(40.9812725, -72.1728425)"
"(35.1622169, -80.99593469999999)"
"(31.7695982, -106.2634538)"
"(34.4727404, -117.3654438)"
"(40.5760503, -111.8265595)"
"(37.7728374, -122.2826458)"
"(42.25582, -71.806899)"
"(34.9015482, -89.97676949999999)"
"(30.4044682, -89.09234359999999)"
"(38.4945718, -90.3290504)"
"(30.7963114, -86.5431049)"
"(32.92122500000001, -97.34201499999999)"
"(33.699589, -84.2457838)"
"(35.321488, -79.006231)"
"(34.199966, -80.9576706)"
"(30.493415, -95.3888223)"
"(28.8055286, -81.2661437)"
"(30.8634013, -89.5830048)"
