location
"(31.315497, -89.343435)"
"(33.9547675, -117.5738664)"
"(30.0017204, -91.8219866)"
"(28.0615412, -82.47316409999999)"
"(47.0076977, -120.556364)"
"(42.6108923, -70.6726809)"
"(33.9254744, -80.38303429999999)"
"(42.2965447, -88.40647299999999)"
"(33.1649946, -96.9056323)"
"(39.7816869, -84.2373777)"
"(41.4779108, -81.84203149999999)"
"(26.4087691, -80.1071472)"
"(41.1997451, -75.3879319)"
"(43.0718354, -71.49405469999999)"
"(40.8418258, -73.89101699999999)"
"(43.042632, -82.49450399999999)"
"(39.5870001, -104.6755222)"
"(30.1663135, -93.9704245)"
"(33.2742927, -111.8748842)"
"(42.538129, -76.702006)"
"(40.771094, -73.798278)"
"(41.11189299999999, -74.876999)"
"(41.5384081, -87.4191831)"
"(47.500934, -122.545133)"
"(30.7031877, -97.7108882)"
"(38.46120250000001, -77.3653954)"
"(42.5247257, -92.4544268)"
"(40.7141215, -73.98702519999999)"
"(28.6576525, -81.44201869999999)"
"(35.2086734, -97.4158179)"
"(40.9334623, -73.8604563)"
"(40.7463038, -73.1275613)"
"(26.7110363, -80.0543473)"
"(38.9992392, -77.0290095)"
"(39.052055, -84.148083)"
"(30.434986, -86.5824109)"
"(33.3636178, -97.69604299999999)"
"(35.1379177, -89.7472737)"
"(39.0303524, -77.3954084)"
"(30.3325425, -81.48683)"
"(42.4888406, -79.32438420000001)"
"(44.436469, -88.726598)"
"(28.3634827, -82.2393362)"
"(34.22169, -86.203508)"
"(39.7656017, -86.3852047)"
