location
"(32.2809667, -95.63854529999999)"
"(30.40447919999999, -88.784138)"
"(29.5898355, -95.27111699999999)"
"(34.61671860000001, -83.3577758)"
"(33.817011, -81.8701152)"
"(39.7788518, -121.6179253)"
"(43.0818232, -75.75888429999999)"
"(41.6855567, -87.6546642)"
"(41.7945327, -87.86999329999999)"
"(31.7851074, -106.3051076)"
"(34.728856, -76.815935)"
"(25.5351563, -80.3967337)"
"(39.096787, -77.040753)"
"(41.45584059999999, -88.2654895)"
"(40.7088079, -112.0507343)"
"(41.3356649, -73.8077422)"
"(37.8004648, -122.2363844)"
"(39.2520012, -76.99495230000001)"
"(44.9335039, -92.90844799999999)"
"(30.0696375, -82.85001609999999)"
"(41.359594, -72.205496)"
"(38.000106, -79.031914)"
"(30.0477197, -89.96977129999999)"
"(34.7811768, -96.6622668)"
"(32.8657851, -116.9591414)"
"(34.8685045, -82.30103059999999)"
"(33.198945, -97.12084700000001)"
"(36.7425198, -76.23362019999999)"
"(28.0716659, -81.4988381)"
"(38.88337360000001, -77.17358949999999)"
"(37.388423, -121.863599)"
"(38.910866, -77.039287)"
"(27.4558526, -82.4429885)"
"(34.1497633, -118.0385063)"
"(36.0065833, -120.1212227)"
"(40.8128312, -73.9487225)"
"(28.516724, -82.496752)"
"(26.0588274, -80.3511394)"
"(38.6708927, -121.1607924)"
"(45.397374, -122.865903)"
"(27.6778805, -97.4122603)"
"(39.11337, -95.064213)"
"(25.7599996, -80.1891629)"
"(34.6434594, -92.3609938)"
"(36.790997, -119.720847)"
