location
"(38.306066, -85.524986)"
"(38.2270546, -85.7245394)"
"(31.7687215, -106.4950773)"
"(40.7709798, -73.8199355)"
"(37.66101, -77.608638)"
"(41.6074667, -72.1468197)"
"(30.7857195, -85.542547)"
"(32.1949169, -80.7343549)"
"(33.5626186, -117.7364439)"
"(39.524507, -104.819375)"
"(40.7245989, -73.99942109999999)"
"(39.006723, -89.7821835)"
"(36.0882077, -115.3003576)"
"(41.5864671, -93.82516609999999)"
"(44.854603, -93.3285329)"
"(41.3378424, -88.3046237)"
"(32.9563179, -97.1034777)"
"(33.3730253, -111.9573027)"
"(25.5144834, -80.3828059)"
"(36.84093319999999, -121.3745547)"
"(26.6069974, -80.0538634)"
"(32.1219601, -111.0406151)"
"(37.8182498, -122.2509651)"
"(33.891009, -118.2381844)"
"(25.578603, -80.37173)"
"(26.4068656, -80.2242235)"
"(29.9350959, -95.3098625)"
"(32.533973, -92.26088949999999)"
"(36.8697803, -76.37523670000002)"
"(40.7532505, -74.1747542)"
"(33.9413592, -84.0508754)"
"(41.5368757, -90.5685432)"
"(33.6049585, -112.1401572)"
"(30.1936639, -97.77968369999999)"
"(37.6949765, -122.4188975)"
"(40.2655315, -74.0239072)"
"(34.1186365, -116.346414)"
"(32.8431126, -117.251284)"
"(38.9911082, -77.0296023)"
"(40.1358647, -83.0606773)"
"(40.3772485, -111.8642412)"
"(27.9671662, -80.6493613)"
"(42.0162878, -93.6461065)"
"(36.3392034, -119.2714149)"
"(39.514331, -86.075042)"
