location
"(40.7371223, -73.9898489)"
"(40.7929657, -73.9694351)"
"(43.4383811, -71.4830114)"
"(32.441226, -111.047439)"
"(42.643761, -76.177207)"
"(38.7806363, -89.98325779999999)"
"(29.5965837, -95.67821130000002)"
"(29.9219135, -90.09680329999999)"
"(37.251166, -79.76029319999999)"
"(40.3952274, -111.8455634)"
"(33.342675, -86.89338509999999)"
"(42.3596384, -70.97063150000001)"
"(45.3617812, -122.5357181)"
"(40.6496066, -73.5553869)"
"(30.4552205, -81.5305432)"
"(43.1068022, -76.20023069999999)"
"(41.6327488, -87.6061599)"
"(39.164674, -121.5639594)"
"(35.3591256, -81.1143282)"
"(40.032273, -75.0378757)"
"(37.78948219999999, -122.4159537)"
"(41.7192921, -87.61923569999999)"
"(46.227422, -119.124962)"
"(39.633443, -105.0314732)"
"(32.5011857, -94.2310943)"
"(38.3288512, -90.1470305)"
"(40.6593599, -73.7518571)"
"(42.8528947, -71.18135749999999)"
"(42.5233081, -92.478276)"
"(47.7205306, -122.2904582)"
"(30.33191, -81.5927823)"
"(36.444687, -87.322041)"
"(38.830335, -76.9588139)"
"(34.457071, -83.837081)"
"(42.573863, -72.00938)"
"(35.92682569999999, -79.0701107)"
"(38.9393053, -94.3672524)"
"(41.6449038, -88.2400524)"
"(32.9051945, -96.4349655)"
"(40.6390095, -80.0246942)"
"(29.160722, -81.39485409999999)"
"(40.1109568, -83.1408392)"
"(28.8864201, -97.0071542)"
"(31.5568746, -83.45920749999999)"
"(30.38147129999999, -97.91790089999999)"
