location
"(36.2677585, -115.1712456)"
"(41.7151076, -87.60031819999999)"
"(35.4558538, -84.5979254)"
"(40.6757968, -74.0117309)"
"(34.5143571, -117.3503775)"
"(39.0200813, -76.68122249999999)"
"(30.9417806, -83.2502453)"
"(42.1298729, -88.2504723)"
"(40.75283690000001, -73.9923274)"
"(29.8157903, -94.8486456)"
"(35.0233506, -82.0806952)"
"(30.1351808, -94.1779274)"
"(42.2985225, -89.0296755)"
"(40.0927155, -74.97975799999999)"
"(47.7599963, -122.2558688)"
"(38.8445423, -104.7080508)"
"(38.69961259999999, -121.3162186)"
"(46.5951355, -120.6013697)"
"(39.0430484, -84.5031078)"
"(39.63171, -77.401072)"
"(43.24888199999999, -89.356487)"
"(41.6372316, -72.999938)"
"(42.394198, -83.9441329)"
"(36.602303, -76.321328)"
"(30.2193295, -92.0330783)"
"(33.814423, -118.0445209)"
"(42.555915, -83.00725)"
"(34.5513622, -84.9127791)"
"(34.807833, -82.628496)"
"(41.7117291, -83.7380716)"
"(45.0483114, -92.80202380000001)"
"(41.1100354, -80.73055819999999)"
"(39.1103803, -84.7386705)"
"(32.6222829, -117.0215825)"
"(32.3548045, -81.68449629999999)"
"(43.0590296, -89.347705)"
"(40.8378455, -73.8232742)"
"(37.915104, -120.411994)"
"(41.8252814, -87.6078769)"
"(32.7970379, -97.1847298)"
"(32.3430363, -86.17190939999999)"
"(30.204809, -92.0160513)"
"(41.4377009, -81.78567559999999)"
"(41.855072, -71.39533759999999)"
"(42.0322925, -87.7678196)"
