location
"(41.7363639, -87.92631779999999)"
"(39.6013793, -84.2122141)"
"(39.6802022, -75.7134568)"
"(40.7220988, -73.94789229999999)"
"(41.0304946, -82.0052458)"
"(40.178188, -83.431366)"
"(38.1236783, -121.266772)"
"(42.9336621, -83.6850561)"
"(40.8637019, -73.9028678)"
"(40.486336, -96.970417)"
"(43.4375899, -88.8708817)"
"(41.3626834, -85.037352)"
"(26.354141, -80.2454837)"
"(41.880126, -80.445924)"
"(26.363218, -80.1031751)"
"(40.1315823, -76.7911079)"
"(45.50369449999999, -122.4024146)"
"(38.7240726, -120.8016811)"
"(32.8789077, -96.5603029)"
"(40.6286741, -79.5974226)"
"(61.1780198, -149.9070497)"
"(44.0466399, -121.206013)"
"(32.2644778, -90.261069)"
"(36.3076736, -86.5207136)"
"(30.322309, -87.39322419999999)"
"(33.5596442, -112.0663486)"
"(39.5005312, -85.19039629999999)"
"(41.6815748, -86.1774607)"
"(35.0161296, -79.01366949999999)"
"(41.0799954, -112.0226259)"
"(33.6897306, -84.5650884)"
"(36.2819533, -115.125942)"
"(32.8348996, -117.2046428)"
"(44.1371337, -71.9538828)"
"(40.88652889999999, -74.14406699999999)"
"(35.9540185, -84.0886451)"
"(33.304565, -111.7360108)"
"(36.519108, -87.333967)"
"(44.012331, -87.91309299999999)"
"(41.615619, -81.44526599999999)"
"(39.6220272, -104.7998195)"
"(40.43401170000001, -80.0202522)"
"(40.9853228, -76.0199923)"
"(41.289676, -96.093684)"
"(41.2914801, -96.2334259)"
