location
"(29.84082819999999, -95.7487637)"
"(27.8787049, -82.823267)"
"(34.6487038, -97.1553909)"
"(27.0846874, -82.1681552)"
"(40.33150639999999, -79.68360249999999)"
"(41.4441849, -72.7082179)"
"(39.9386239, -82.8501163)"
"(30.0122566, -90.23711809999999)"
"(43.6377554, -70.5778196)"
"(39.445205, -84.22126999999999)"
"(34.4568889, -114.277709)"
"(42.7823381, -85.1436435)"
"(31.6540358, -84.0949742)"
"(43.3739671, -83.31384349999999)"
"(30.2999123, -97.6834906)"
"(39.9980585, -83.228224)"
"(38.9015888, -77.5486936)"
"(31.6101983, -84.2074895)"
"(34.3876777, -81.09265769999999)"
"(34.21520599999999, -84.243523)"
"(33.7820052, -117.825579)"
"(42.6745363, -83.5683634)"
"(34.06581, -84.61549219999999)"
"(34.8121434, -82.25158139999999)"
"(34.1646243, -79.87078679999999)"
"(33.91158, -118.1531594)"
"(41.8213402, -72.5146346)"
"(33.0495462, -96.4067379)"
"(39.40852770000001, -77.4467215)"
"(34.1595339, -118.2432633)"
"(40.1436321, -75.4183348)"
"(42.8147821, -78.7270506)"
"(45.5061474, -122.8105872)"
"(34.1064634, -84.4842979)"
"(35.0350129, -97.3693261)"
"(44.2909819, -75.54958800000001)"
"(40.6404442, -74.0843752)"
"(39.9373057, -105.0183702)"
"(40.2143276, -76.9759849)"
"(38.6940465, -76.9662413)"
"(38.38010999999999, -76.411419)"
"(40.75722349999999, -73.9630107)"
"(32.7002931, -97.3229135)"
"(40.5165078, -112.0120697)"
"(40.6386848, -73.9931265)"
