location
"(40.716476, -74.0434779)"
"(27.9870791, -82.797693)"
"(41.21823, -73.40753699999999)"
"(38.8881038, -104.8390739)"
"(44.7606528, -93.284634)"
"(42.1011774, -87.9503094)"
"(38.9313545, -77.0788859)"
"(29.166342, -98.43996299999999)"
"(36.0495791, -75.687375)"
"(44.844268, -122.8597263)"
"(29.4940376, -98.6589628)"
"(42.85884, -72.61144999999999)"
"(43.082346, -75.87182399999999)"
"(42.9661176, -78.82045649999999)"
"(40.6564483, -73.54512609999999)"
"(41.2252685, -111.944168)"
"(42.6229701, -70.640712)"
"(39.1234136, -84.5078401)"
"(39.7293803, -75.12862179999999)"
"(42.529557, -83.3824863)"
"(46.4538527, -122.8128432)"
"(36.0801772, -80.2505838)"
"(38.8618613, -77.3111952)"
"(45.325063, -93.7397859)"
"(33.6362168, -117.5613476)"
"(33.8226852, -83.9629123)"
"(30.4287973, -90.8978545)"
"(42.9172371, -83.9777952)"
"(37.286941, -121.843178)"
"(39.292699, -76.647992)"
"(34.147903, -81.19277029999999)"
"(27.9247288, -82.7506867)"
"(37.949228, -78.0243644)"
"(40.8332218, -73.29001149999999)"
"(40.7128448, -74.0089923)"
"(39.8303976, -74.1931245)"
"(41.6606818, -72.7641823)"
"(33.397663, -112.09869)"
"(42.2290068, -88.1405)"
"(41.96573859999999, -87.6653493)"
"(31.2978167, -85.9139429)"
"(42.3840995, -83.4008252)"
"(40.5932318, -74.3132076)"
"(42.2080422, -72.1986787)"
"(39.537634, -119.740901)"
